code;artikel;lengte;kleur;stelen_per_bos;bossen_per_emmer;emmers;inkoop_per_steel;datum
RS4412;Athena;50;rood;10;10;22;0,18;29-05
RS4412;Athena;50;rood;10;10;22;0,18;29-05
RS4418;Belle Rose;L50;roze;10;10;8;0,21;28-05
RS4501;Red Naomi;50 cm;rot;10;8;31;0,26;29-05
RS4470;Freedom;50;rood;10;10;45;0,13;27-05
RS4471;Explorer;50;rood;10;10;18;13;27-05
RS4490;Athena Royal;50;rood;10;10;5;0,19;21-05
RS4502;Avalanche;60;wit;10;8;12;0,29;27-05
TU2201;Strong Gold;40;geel;50;5;40;0,09;29-05
TU2205;Ad Rem;40;rood;50;5;26;0,10;28-05
TU2210;Purple Prince;38;paars;50;5;13;0,11;25-05
TU2240;Yokohama;40;geel;50;5;0;0,09;29-05
